Title,Condition,Buy Price,Author,Publisher,ISBN
Becoming,Good,5.09,Michelle Obama,Crown Publishing Group (NY),1524763144
Anne Frank: The Diary of a Young Girl,Very Good,18.99,Anne Frank,Maple Press Pvt Ltd,9350332108
A Promised Land,Very Good,5.69,Barack Obama,Crown Publishing Group (NY),1524763160
"Walden; or, Life in the Woods",Very Good,7.09,Henry David Thoreau,Empire Books,1619493918
"Narrative of the Life of Frederick Douglass, an American Slave. Written by Himself",Like New,8.29,Frederick Douglass,Mint Editions,1513279726
Team of Rivals: The Political Genius of Abraham Lincoln,Good,6.09,Doris Kearns Goodwin,Simon & Schuster,0684824906
The Last Lecture,Very Good,8.79,Randy Pausch,Grand Central Publishing,0316335614
John Adams,Very Good,5.89,David McCullough,Simon & Schuster,0743223136
Greenlights,Good,5.39,Matthew McConaughey,Crown Publishing Group (NY),0593139135
Travels with Charley: In Search of America,Good,4.29,John Steinbeck,Penguin Publishing Group,0140053204
Confessiones,Good,6.69,Augustine of Hippo,Oxford University Press,0199537828
The Story of My Life,Very Good,10.59,Helen Keller,General Press,9389157951
The Autobiography of Malcolm X,Acceptable,6.69,Alex Haley,Ballantine Books,0345376714
A Moveable Feast,Good,4.39,Ernest Hemingway,Scribner Book Company,068482499X
Alexander Hamilton,Good,5.49,Ron Chernow,Penguin Books,0143034758
Man's Search for Meaning,Good,5.89,Viktor E. Frankl,Beacon Press,0807014273
Roots: The Saga of an American Family,Good,5.99,Alex Haley,Grand Central Publishing,030682485X
Cheaper by the Dozen,Good,6.49,Ernestine Gilbreth Carey,Harper Perennial Modern Classics,006008460X
Becoming Duchess Goldblatt,Good,4.99,Duchess Goldblatt,Mariner Books,0358569834
Benjamin Franklin,Good,5.49,Walter Isaacson,Simon & Schuster,074325807X
An Autobiography or The Story of My Experiments with Truth,Good,5.39,Mahatma Gandhi,Dover Publications,0486245934
Endurance: Shackleton's Incredible Voyage,Good,9.69,Alfred Lansing,Basic Books,0465062881
Black Boy,Good,5.49,Richard Wright,Harper Perennial,0062964135
Mein Kampf,Very Good,25.39,Adolf Hitler,Elite Minds Inc,0984158421
Profiles In Courage,Acceptable,6.39,John F. Kennedy,Harper Perennial,B00BG73CD8
Sam Walton: Made In America,Very Good,5.59,Sam Walton,Bantam,0553562835
James Herriot's Cat Stories,Very Good,8.49,James Herriot,St. Martin's Press,1250061857
Nicholas And Alexandra,Good,5.29,Robert K. Massie,Random House Trade,0345438310
Mommie Dearest,Good,14.29,Christina Crawford,Open Road Integrated Media LLC,1504057716
Letters to a Young Poet,Good,6.99,Rainer Maria Rilke,W. W. Norton & Company,0393310396
The Light We Carry,Good,4.49,Michelle Obama,Crown Publishing Group (NY),0593237463
Elvis and Me,Good,5.29,Priscilla Presley,Berkley,0425091031
The 48 Laws of Power,Good,11.19,Robert Greene,Penguin Books,0140280197
Up from Slavery,Good,5.29,Booker T. Washington,Penguin Publishing Group,0140390510
Confessions of an Economic Hit Man,Very Good,17.59,John Perkins,Berrett-Koehler Publishers,1523001895
Blue Highways: A Journey into America,Good,5.49,William Least Heat-Moon,Back Bay Books,0316353299
Alive: The Story of the Andes Survivors,Good,16.39,Piers Paul Read,Perfection Learning,0812415019
Sybil,Good,8.39,Flora Rheta Schreiber,Grand Central Publishing,0446550124
His bright light,Very Good,5.19,Danielle Steel,Delacorte Press,0385333463
Trump: The Art of the Deal,Good,14.69,Donald J. Trump,Ballantine Books,0399594493
"Whiskey in a Teacup: What Growing Up in the South Taught Me About Life, Love, & Baking Biscuits",Good,4.79,Reese Witherspoon,Atria Books,1501166271
Black Like Me,Good,4.99,John Howard Griffin,Berkley Books,0451234219
My American Journey,Very Good,5.79,Colin Powell,Random House Publishing Group,0345466411
The Fire Next Time,Very Good,9.59,James Baldwin,Vintage,067974472X
Lincoln,Good,5.39,David Herbert Donald,Simon & Schuster,068482535X
